FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;LT;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LU;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LV;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;MT;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NL;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;PL;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;PT;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;RO;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SE;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SI;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SK;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;UK;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;AT;PC_GDP;OBJ05,0.008 ,0.013 ,0.008 ,0.01 ,0.011 ,0.008 ,0.005 ,0.012 ,0.002 ,0.001 ,0 ,0 ,0 ,0 ,0.001 ,0.001 ,0 ,0 
A;BE;PC_GDP;OBJ05,0.059 ,0.056 ,0.027 ,0.013 ,0.011 ,0.014 ,0.013 ,0.013 ,0.014 ,0.032 ,0.035 ,0.033 ,0.035 ,0.038 ,0.036 ,0.033 ,0.031 ,0.027 
A;BG;PC_GDP;OBJ05,0 ,0 ,0.122 ,0.03 ,0.05 ,0.011 ,0.002 ,0 ,0 ,0 ,0.009 ,0 ,0.019 ,0.023 ,0.004 ,0 ,0 ,0.001 
A;CY;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.006 ,0.005 ,0.001 ,0.001 ,0.002 ,0.002 ,0.001 ,0 ,0 ,0 ,0 
A;CZ;PC_GDP;OBJ05,0.009 ,0.014 ,0.016 ,0.007 ,0.002 ,0.001 ,0.029 ,0.014 ,0.001 ,0.002 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DE;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DK;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EE;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0.001 ,0.002 ,0.002 ,0.001 ,0.001 ,0.001 ,0 ,0 ,0.017 ,0.01 ,0 ,0 ,0 
A;EL;PC_GDP;OBJ05,0 ,0 ,0 ,0.004 ,0.01 ,0.028 ,0.008 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0.002 ,0.011 ,0.001 ,0.005 
A;ES;PC_GDP;OBJ05,0.024 ,0.012 ,0.008 ,0.007 ,0.005 ,0.005 ,0.004 ,0.004 ,0.003 ,0.004 ,0.005 ,0.004 ,0.004 ,0.005 ,0.004 ,0.006 ,0.004 ,0.005 
